,AIR,NOISE,CLIMATE,ACCIDENTS,SPACE,BARRIER,CONGESTION,TOTAL
EBUS,0.06,0,0,0,0,0,0,0.06
BUS,1.157905731,0.182814187,1.936387759,2.143752117,2.759250412,0.240617614,2.938747834,11.35947565
TRAM,0.044351618,1.202554039,0.029982659,1.388486983,2.744964655,0,2.602535158,8.012875113
METRO,0.01499919,0.032593951,0.027027,0,2.744964655,0,1.170518205,3.990103001
REGIONAL_TRAIN,0.031346732,0.040641651,0.167143695,0,2.744964655,0,1.633411306,4.61750804
EMOPED,0.081614461,0.283436218,0.370979716,4.038989717,1.236004834,1.192154019,3.37662574,10.57980471
MOPED,0.819483966,2.777674934,1.42619576,4.038989717,1.236004834,1.192154019,3.37662574,14.86712897
MOTORCYCLE,0.555110225,3.438004717,2.146604056,4.097857345,1.172764769,2.044920047,3.102845275,16.55810643
CAR_BEV,0.2295238,0.192736628,1.109971311,2.54854688,4.902120131,1.513240834,3.651367776,14.14750736
CAR_PHEV,0.355164804,0.192736628,1.869020892,2.54854688,4.902120131,1.513240834,3.651367776,15.03219795
CAR_DIESEL,1.414914089,0.231283954,2.708532577,2.54854688,4.902120131,1.513240834,3.651367776,16.97000624
CAR_GASOLINE,0.479037801,0.192736628,2.608462866,2.54854688,4.902120131,1.513240834,3.651367776,15.89551292
ECAR_SHARING,0.274227237,0.230275174,1.326156003,3.044917206,2.665927748,1.807968726,4.362530137,13.71200223
CAR_SHARING,0.572338085,0.230275174,3.116502791,3.044917206,2.665927748,1.807968726,4.362530137,15.80045987
MOPED_SHARING,0.081614461,0.283436218,0.370979716,4.038989717,1.523946992,1.192154019,3.37662574,10.86774686
ESCOOTER_SHARING,0.018256029,0.289104942,0.129736906,18.09526365,0.516578225,0.162132947,0,19.2110727
WALK,0,0,0,0.70400695,0,0,0,0.70400695
BICYCLE,0,0,0,5.715262661,0.841488406,0.162132947,0,6.718884013
EBICYCLE,0.011105751,0,0.078923285,7.07140334,0.841488406,0.162132947,0,8.165053728
BICYCLE_SHARING,0,0,0,5.715262661,0.841488406,0.162132947,0,6.718884013


